"Title","Default language","Default text","zh-tw text","Variant status","Placeholder"
"5.2::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 5.2.","","","dc.5_2-compatibility_matrix_card_description"
"5.2::Documentation Card Description","English","Reference the admin guide and whitepapers for Liferay Portal 5.2.","","","dc.5_2-documentation_card_description"
"5.2::Downloads Card Description","English","Download the archived service packs and fix packs for Liferay Portal 5.2.","","","dc.5_2-downloads_card_description"
"5.2::Info Banner","English","Support for Liferay Portal 5.2 has ended.","","","dc.5_2-info_banner"
"5.2::Page Heading","English","Liferay Portal 5.2","","","dc.5_2-page_heading"
"6.0::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 6.0.","","","dc.6_0-compatibility_matrix_card_description"
"6.0::Documentation Card Description","English","Reference the admin guide and whitepapers for Liferay Portal 6.0.","","","dc.6_0-documentation_card_description"
"6.0::Downloads Card Description","English","Download the archived service packs and fix packs for Liferay Portal 6.0.","","","dc.6_0-downloads_card_description"
"6.0::Info Banner","English","Support for Liferay Portal 6.0 has ended.","","","dc.6_0-info_banner"
"6.0::Page Heading","English","Liferay Portal 6.0","","","dc.6_0-page_heading"
"6.1::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay Portal 6.1.","","","dc.6_1-admin_guide_card_description"
"6.1::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 6.1.","","","dc.6_1-compatibility_matrix_card_description"
"6.1::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay Portal 6.1 environments.","","","dc.6_1-deployment_guide_card_description"
"6.1::Info Banner","English","Liferay Portal 6.1 EE is now in the Limited Support Phase.","","","dc.6_1-info_banner"
"6.1::Latest Release Card Description","English","Download the latest release of Liferay Portal 6.1.","","","dc.6_1-latest_release_card_description"
"6.1::Page Heading","English","Liferay Portal 6.1","","","dc.6_1-page_heading"
"6.1::Patching Tool Card Description","English","Download the patching tool to install Liferay Portal 6.1 software updates.","","","dc.6_1-patching_tool_card_description"
"6.1::Service Life Card Description","English","Reference the end of life policy for Liferay Portal 6.1.","","","dc.6_1-service_life_card_description"
"6.1::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay Portal 6.1.","","","dc.6_1-service_packs_archive_card_description"
"6.2::Activation Keys Card Description","English","Request a key for your workstation and production environments.","","","dc.6_2-activation_keys_card_description"
"6.2::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay Portal 6.2.","","","dc.6_2-admin_guide_card_description"
"6.2::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 6.2.","","","dc.6_2-compatibility_matrix_card_description"
"6.2::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay Portal 6.2 environments.","","","dc.6_2-deployment_guide_card_description"
"6.2::Developer Studio Card","English","Developer Studio","","","dc.6_2-developer_studio_card"
"6.2::Developer Studio Card Description","English","An all-in-one, integrated development environment based on Eclipse.","","","dc.6_2-developer_studio_card_description"
"6.2::Fix Delivery Method Card Description","English","Learn how Liferay Support delivers maintenance and emergency updates for Liferay Portal.","","","dc.6_2-fix_delivery_method_card_description"
